college_id,admission_id,gpa,sat,act,matric,university_id,hook_athlete,hook_first_gen,hook_legacy
297,10298,10.4,1540,,Amherst College,164465,FALSE,FALSE,FALSE
298,10337,10.4,1580,,Brown University,217156,FALSE,FALSE,FALSE
299,10530,10.37,1550,,Brown University,217156,FALSE,FALSE,TRUE
300,10753,10.37,1560,,Tulane University of Louisiana,160755,FALSE,FALSE,FALSE
301,10044,10.36,,,Dartmouth College,182670,FALSE,FALSE,FALSE
302,10482,10.36,1380,,Georgetown University,131496,FALSE,FALSE,FALSE
303,10346,10.34,,34,Middlebury College,230959,FALSE,FALSE,FALSE
304,10115,10.33,1190,29,Bates College,160977,FALSE,FALSE,FALSE
305,10181,10.32,,32,Colgate University,190099,FALSE,FALSE,FALSE
306,10291,10.32,1170,,Harvard University,166027,FALSE,FALSE,TRUE
307,10751,10.32,,23,Harvard University,166027,FALSE,FALSE,FALSE
308,10159,10.29,1510,,Harvard University,166027,FALSE,FALSE,TRUE
309,10292,10.29,1070,,New York University,193900,FALSE,FALSE,FALSE
310,10425,10.29,,31,Syracuse University,196413,FALSE,FALSE,FALSE
311,10481,10.26,1530,22,Union College,196866,FALSE,FALSE,FALSE
312,10807,10.26,1500,,Middlebury College,230959,FALSE,FALSE,FALSE
313,10527,10.21,,34,Case Western Reserve University,201645,FALSE,FALSE,FALSE
314,18873,10.18,,,Northeastern University,167358,FALSE,FALSE,FALSE
315,10647,10.15,1190,,Williams College,168342,TRUE,FALSE,FALSE
316,10756,10.15,1500,,Union College,196866,TRUE,FALSE,FALSE
317,10111,10.13,,25,Middlebury College,230959,FALSE,FALSE,FALSE
318,10375,10.1,1530,,Boston University,164988,TRUE,FALSE,TRUE
319,21716,10.08,1530,14,Washington and Lee University,234207,FALSE,FALSE,FALSE
320,10531,10.06,1410,,Middlebury College,230959,FALSE,FALSE,FALSE
321,10651,10.05,1430,22,Boston College,164924,FALSE,FALSE,FALSE
322,10533,10.03,,,Georgetown University,131496,FALSE,FALSE,FALSE
323,10045,10.01,1590,,University of Virginia-Main Campus,234076,FALSE,FALSE,FALSE
324,10693,10.01,1510,,Boston College,164924,FALSE,FALSE,FALSE
325,10344,10,,34,Bowdoin College,161004,TRUE,FALSE,FALSE
326,10428,10,,26,Boston University,164988,FALSE,FALSE,FALSE
327,10296,9.97,1510,,Boston College,164924,FALSE,FALSE,FALSE
328,10487,9.96,1510,,Wesleyan University,130697,TRUE,FALSE,FALSE
329,10698,9.87,1240,,Columbia University in the City of New York,190150,FALSE,FALSE,FALSE
330,10073,9.85,1510,,Boston College,164924,FALSE,FALSE,FALSE
331,10536,9.85,,,Case Western Reserve University,201645,FALSE,FALSE,FALSE
332,10485,9.84,1520,,University of Pittsburgh-Pittsburgh Campus,215293,TRUE,FALSE,FALSE
333,17417,9.83,,33,Pitzer College,121257,FALSE,FALSE,FALSE
334,10113,9.8,1350,,Stonehill College,167996,TRUE,FALSE,FALSE
335,10475,9.79,1480,,Brown University,217156,TRUE,FALSE,FALSE
336,10208,9.78,,36,Babson College,164580,FALSE,FALSE,FALSE
337,10071,9.76,1070,18,Northeastern University,167358,FALSE,FALSE,TRUE
338,10161,9.76,1560,28,Colgate University,190099,FALSE,FALSE,FALSE
339,10063,9.75,1430,,Tufts University,168148,TRUE,FALSE,FALSE
340,10426,9.75,1200,,Princeton University,186131,FALSE,FALSE,TRUE
341,10433,9.71,,21,University of Virginia-Main Campus,234076,FALSE,FALSE,FALSE
342,10065,9.68,1470,,Vanderbilt University,221999,FALSE,FALSE,FALSE
343,10118,9.67,1520,,Bates College,160977,FALSE,FALSE,FALSE
344,10152,9.67,1490,,University of California-Los Angeles,110662,FALSE,FALSE,FALSE
345,10293,9.64,,35,Yale University,130794,FALSE,FALSE,FALSE
346,10748,9.64,1500,25,Colby College,161086,TRUE,FALSE,FALSE
347,10108,9.63,1580,,Hamilton College,191515,FALSE,FALSE,FALSE
348,10196,9.61,,34,University of Richmond,233374,FALSE,FALSE,FALSE
349,10201,9.6,1530,33,Tufts University,168148,FALSE,FALSE,FALSE
350,10092,9.58,1560,21,New York University,193900,FALSE,FALSE,FALSE
351,10249,9.56,950,,University of Colorado Boulder,126614,FALSE,FALSE,FALSE
352,10473,9.56,1590,,Tufts University,168148,TRUE,FALSE,TRUE
353,10224,9.55,1570,28,Harvard University,166027,FALSE,TRUE,FALSE
354,10022,9.53,1530,,Tufts University,168148,FALSE,FALSE,FALSE
355,10043,9.5,1190,20,Tulane University of Louisiana,160755,FALSE,FALSE,FALSE
356,10427,9.5,,34,Colby College,161086,FALSE,FALSE,FALSE
357,10389,9.4,,,Colby College,161086,FALSE,FALSE,FALSE
358,10070,9.39,,34,Williams College,168342,FALSE,FALSE,FALSE
359,10301,9.38,1350,28,Babson College,164580,FALSE,FALSE,TRUE
360,10749,9.36,,33,Cornell University,190415,FALSE,FALSE,FALSE
361,10248,9.33,1220,,Harvard University,166027,TRUE,FALSE,FALSE
362,10750,9.33,1190,,Lehigh University,213543,FALSE,FALSE,FALSE
363,10771,9.31,,35,,,,,
364,10197,9.3,1220,,Worcester Polytechnic Institute,168421,FALSE,FALSE,FALSE
365,10747,9.26,,23,Southern Methodist University,228246,FALSE,TRUE,FALSE
366,10251,9.25,1530,23,Santa Clara University,122931,FALSE,FALSE,FALSE
367,10826,9.24,1520,,Babson College,164580,TRUE,FALSE,FALSE
368,10823,9.23,,32,Hamilton College,191515,TRUE,FALSE,FALSE
369,10222,9.19,1270,,Colgate University,190099,FALSE,FALSE,FALSE
370,10023,9.11,1490,25,Santa Clara University,122931,FALSE,FALSE,FALSE
371,10694,9.11,1420,,Bowdoin College,161004,TRUE,FALSE,FALSE
372,10155,9.1,,35,Boston University,164988,FALSE,TRUE,FALSE
373,10247,9.09,1410,25,Fordham University,191241,FALSE,FALSE,FALSE
374,10341,9.07,1270,,Williams College,168342,TRUE,FALSE,FALSE
375,10157,9.05,1200,,Trinity College,130590,FALSE,FALSE,FALSE
376,10160,9.05,1540,24,Yale University,130794,FALSE,FALSE,FALSE
377,17930,9,1310,,Middlebury College,230959,FALSE,FALSE,FALSE
378,10091,8.97,1070,,Connecticut College,128902,FALSE,FALSE,FALSE
379,10479,8.96,1590,,Boston University,164988,FALSE,TRUE,FALSE
380,10644,8.95,1500,,University of Denver,127060,FALSE,FALSE,FALSE
